"Repayment Overview","Repayment Overview"
"Starting from: ","Starting from: "
"The import of Santander Prices has been added to the queue.","The import of Santander Prices has been added to the queue."
"An e-mail will be send to: %s once the indexation is finished","An e-mail will be send to: %s once the indexation is finished"
"Unable to save Cron expression","Unable to save Cron expression"
"Your payment has been rejected.","Your payment has been rejected."
"Your payment has been accepted.","Your payment has been accepted."
"Your payment is refered.","Your payment is refered."
"Something went wrong, please try again.","Something went wrong, please try again."
"Santander Reject","Santander Reject"
"Santander Accept","Santander Accept"
"Santander Refer","Santander Refer"
"Santander New Card","Santander New Card"
"Santander Recurring Card","Santander Recurring Card"
