"Repayment Overview","Tableau d’amortissement"
"Starting from: ","À partir de: "
"The import of Santander Prices has been added to the queue.","L’importation des prix Santander a été ajouté à la file d’attente."
"An e-mail will be send to: %s once the indexation is finished","Un e-mail sera envoyé à: %s lorsque l’indexation est terminée."
"Unable to save Cron expression","Impossible d’enregistrer Cron expression."
"Your payment has been rejected.","Votre paiement est refusé."
"Your payment has been accepted.","Votre paiement est accepté."
"Your payment is refered.","Votre paiement est en cours de traitement."
"Something went wrong, please try again.","Une erreur est survenue. Veuillez essayer de nouveau."
"Santander Reject","Santander rejet"
"Santander Accept","Santander acceptation"
"Santander Refer","Santander refer"
"Santander New Card","Santander nouvelle carte"
"Santander Recurring Card","Santander achat répété"
